"ReportDate","Total","TotalLong","TotalShort"
"20251029","224862.28","224862.28","0"
"20251030","224914.24","224914.24","0"
"20251031","221123.29","245258.29","-24135"
"20251103","220625.48","266915.48","-46290"
"20251104","215756.72","282326.72","-66570"
"20251105","216167.05","309542.05","-93375"
"20251106","198015.76","210360.76","-12345"
"20251107","176236.66","191709.16","-15472.5"
"20251110","172483.5","190689.75","-18206.25"
"20251111","175183.5","196431","-21247.5"
"20251112","167986.62","179709.12","-11722.5"
"20251113","166881.93","166881.93","0"
"20251114","166881.93","166881.93","0"
"20251117","166662.84","166662.84","0"
"20251118","166662.84","166662.84","0"
"20251119","166075.65","172971.9","-6896.25"
"20251120","166124.4","173009.4","-6885"
"20251121","165252.21","173224.71","-7972.5"
"20251124","166453.83","198543.05","-32089.22"
"20251125","172574.13","213474.42","-40900.29"
"20251126","163302.87","218380.46","-55077.59"
"20251127","163302.87","218380.46","-55077.59"
"20251128","162943.02","214270.7","-51327.68"
